phenotype	type	unique_value	regression	genotype	beta	p	description
f.12144.2.0	integer	65	linear	BAG3	-0.176779787445579	0.00528864134663825	Height
f.12336.2.0	integer	110	linear	BAG3	-0.178149488665515	0.118770140520029	Ventricular rate
f.12338.2.0	integer	61	linear	BAG3	0.32009071134306	0.0709345541541752	P duration
f.12340.2.0	integer	77	linear	BAG3	-0.196478791811379	0.159612882611088	QRS duration
f.12697.2.0	integer	199	linear	BAG3	-0.101910789796661	0.671274819579054	Systolic brachial blood pressure
f.12698.2.0	integer	131	linear	BAG3	-0.0414633748693711	0.748199284504727	Diastolic brachial blood pressure
f.12702.2.0	numeric	1013	linear	BAG3	0.00662836952200792	0.677832701004292	Cardiac index during PWA
f.20022.0.0	numeric	279	linear	BAG3	0.00360845862930411	0.122043280479766	Birth weight
f.20107.0.0	factor	15	logistic	BAG3	-0.00196242056925203	0.871502662140592	Illnesses of father
f.20110.0.0	factor	15	logistic	BAG3	-0.0106968880570197	0.500301923964414	Illnesses of mother
f.20111.0.0	factor	16	logistic	BAG3	0.00569294192766345	0.640445399695099	Illnesses of siblings
f.20162.0.0	numeric	10858	linear	BAG3	-0.000586612258267777	0.770739818240237	Pack years adult smoking as proportion of life span exposed to smoking
f.20414.0.0	factor	7	logistic	BAG3	0.020279114904927	0.882247449096557	Frequency of drinking alcohol
f.21000.0.0	factor	2	logistic	NA	NA	NA	Ethnic background
f.21001.0.0	numeric	43106	linear	BAG3	0.02241921109319	0.0789150506780599	Body mass index (BMI)
f.21002.0.0	numeric	1342	linear	BAG3	-0.0641856778275742	0.0905491173175577	Weight
f.21021.0.0	numeric	16899	linear	BAG3	-0.0197732159879546	0.29731357387311	Pulse wave Arterial Stiffness index
f.22001.0.0	factor	3	logistic	BAG3	-0.0274483333505596	0.777628106646243	Genetic sex
f.22330.2.0	integer	129	linear	BAG3	0.543984567135954	0.0879844779814988	PQ interval
f.22331.2.0	integer	161	linear	BAG3	0.703630327264698	0.0628598069638888	QT interval
f.22332.2.0	integer	241	linear	BAG3	-0.0392430482229915	0.895801784930618	QTC interval
f.22333.2.0	integer	565	linear	BAG3	2.98898027092041	0.124664619799837	RR interval
f.22334.2.0	integer	138	linear	BAG3	3.37695681390131	0.110614294237263	PP interval
f.22335.2.0	integer	174	linear	BAG3	-0.0225834206400837	0.935831956968159	P axis
f.22336.2.0	integer	278	linear	BAG3	1.96234964228569	7.52623551474563e-06	R axis
f.22337.2.0	integer	339	linear	BAG3	0.641368935053778	0.116853298497743	T axis
f.22338.2.0	integer	22	linear	BAG3	-0.0317011477726274	0.139751330273461	QRS num
f.22400.0.0	numeric	888	linear	BAG3	0.00531637822104301	0.782695405543551	Liver iron (Fe)
f.22401.0.0	numeric	909	linear	BAG3	-0.00383025596302657	0.82606022465597	Liver inflammation factor (LIF)
f.22402.2.0	numeric	2815	linear	BAG3	-0.0382303314096626	0.760015940117287	Liver fat percentage
f.22407.2.0	numeric	5154	linear	BAG3	0.0350719346873985	0.446668914387468	Visceral adipose tissue volume (VAT)
f.22408.2.0	numeric	5143	linear	BAG3	0.018110474165491	0.800753473183862	Abdominal subcutaneous adipose tissue volume (ASAT)
f.22410.2.0	numeric	5121	linear	BAG3	0.0531823964582144	0.623521819791488	Total trunk fat
f.22420.2.0	integer	66	linear	BAG3	0.797191215472264	1.03210107299644e-05	LV ejection fraction
f.22421.2.0	integer	228	linear	BAG3	-1.69492100170529	0.25031905522364	LV end diastolic volume
f.22422.2.0	integer	157	linear	BAG3	-2.08963381382271	0.0773825125511022	LV end systolic volume
f.22423.2.0	integer	129	linear	BAG3	0.401839161808067	0.417623888603021	LV stroke volume
f.22424.2.0	numeric	92	linear	BAG3	0.0294161266354959	0.337190274961826	Cardiac output
f.22425.2.0	numeric	55	linear	BAG3	0.00729456287156273	0.631955523905454	Cardiac index
f.22426.2.0	integer	76	linear	BAG3	-0.041397042612113	0.878040705201414	Average heart rate
f.22427.2.0	numeric	125	linear	BAG3	0.00291978710728713	0.490652214133622	Body surface area
f.22680.2.0	numeric	912	linear	BAG3	-3.53578198307611	0.0439789155611372	Mean carotid IMT (intima-medial thickness) at 240 degrees
f.23099.0.0	numeric	580	linear	BAG3	0.0257609392462299	0.137084363125641	Body fat percentage
f.23104.0.0	numeric	476	linear	BAG3	0.0231475697367337	0.0706856876689312	Body mass index (BMI)
f.23105.0.0	numeric	2140	linear	BAG3	-7.53882010563336	0.00110529374918368	Basal metabolic rate
f.40001.0.0	factor	912	logistic	BAG3	16.8689445234887	0.996448809733245	Underlying (primary) cause of death: ICD10
f.40007.0.0	numeric	7653	linear	BAG3	0.021891017237162	0.811654583125649	Age at death
f.100580.3.0	factor	3	logistic	BAG3	-0.0013939780891633	0.905579676540505	Alcohol consumed
f.104900.3.0	factor	9	logistic	BAG3	-0.00456310526981439	0.701694044256452	Time spent doing vigorous physical activity
f.104910.3.0	factor	9	logistic	BAG3	0.00382025614826073	0.778493557678544	Time spent doing moderate physical activity
f.104920.3.0	factor	9	logistic	BAG3	0.00927183220867201	0.717687363599732	Time spent doing light physical activity
